unique_id,display_id,vehicle_type,direction,cardinal_direction,confidence,frame_detected,timestamp,source_file
86d93a2c,912,LCV,westbound,stationary,0.7058779001235962,9213,2025-10-11T18:58:56.457284,ch02_20220108175448.mp4
10a20333,915,Truck (Multi-Axle),southbound,westbound,0.8947375416755676,9224,2025-10-11T18:58:57.671515,ch02_20220108175448.mp4
30b7ea68,917,Bus,eastbound,stationary,0.43019500374794006,9227,2025-10-11T18:58:58.009723,ch02_20220108175448.mp4
3b16d7de,918,Mini Truck,westbound,eastbound,0.7462539076805115,9234,2025-10-11T18:58:58.777410,ch02_20220108175448.mp4
46826ea0,922,Truck (2-Axle),eastbound,stationary,0.4740050733089447,9360,2025-10-11T18:59:12.728463,ch02_20220108175448.mp4
4e8bc93c,924,2-Wheeler,westbound,eastbound,0.4565609395503998,9366,2025-10-11T18:59:13.377217,ch02_20220108175448.mp4
efdecb89,925,Car,eastbound,stationary,0.4114634096622467,9375,2025-10-11T18:59:14.357125,ch02_20220108175448.mp4
91cfb236,920,2-Wheeler,southbound,westbound,0.4711856245994568,9386,2025-10-11T18:59:15.567367,ch02_20220108175448.mp4
7bfcb429,927,2-Wheeler,westbound,eastbound,0.4281783401966095,9391,2025-10-11T18:59:16.137206,ch02_20220108175448.mp4
d8296856,928,Bus (2-Axle),eastbound,stationary,0.41509953141212463,9398,2025-10-11T18:59:16.922319,ch02_20220108175448.mp4
3886884d,931,2-Wheeler,westbound,eastbound,0.4528610110282898,9411,2025-10-11T18:59:18.367262,ch02_20220108175448.mp4
2534daa9,939,Truck (2-Axle),eastbound,stationary,0.4423395097255707,9474,2025-10-11T18:59:25.337453,ch02_20220108175448.mp4
c7302fa9,942,Car (3-Axle),southbound,westbound,0.8233329057693481,9491,2025-10-11T18:59:27.220498,ch02_20220108175448.mp4
49d9228c,945,Bus (2-Axle),westbound,westbound,0.4894818067550659,9516,2025-10-11T18:59:30.017076,ch02_20220108175448.mp4
397ed422,947,Truck (2-Axle),southbound,westbound,0.45577019453048706,9521,2025-10-11T18:59:30.567286,ch02_20220108175448.mp4
